Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
Thu 1 Apr,5:59,7:17,1:38,5:13,8:00,9:18
Fri 2 Apr,5:57,7:15,1:38,5:13,8:01,9:20
Sat 3 Apr,5:55,7:13,1:37,5:14,8:02,9:21
Sun 4 Apr,5:53,7:12,1:37,5:14,8:03,9:22
Mon 5 Apr,5:51,7:10,1:37,5:15,8:04,9:24
Tue 6 Apr,5:49,7:08,1:37,5:15,8:05,9:25
Wed 7 Apr,5:47,7:07,1:36,5:16,8:07,9:26
Thu 8 Apr,5:45,7:05,1:36,5:16,8:08,9:28
Fri 9 Apr,5:44,7:03,1:36,5:16,8:09,9:29
Sat 10 Apr,5:42,7:02,1:35,5:17,8:10,9:30
Sun 11 Apr,5:40,7:00,1:35,5:17,8:11,9:32
Mon 12 Apr,5:38,6:59,1:35,5:17,8:12,9:33
Tue 13 Apr,5:36,6:57,1:35,5:18,8:13,9:34
Wed 14 Apr,5:34,6:55,1:34,5:18,8:14,9:36
Thu 15 Apr,5:32,6:54,1:34,5:19,8:15,9:37
Fri 16 Apr,5:30,6:52,1:34,5:19,8:16,9:38
Sat 17 Apr,5:29,6:51,1:34,5:19,8:18,9:40
Sun 18 Apr,5:27,6:49,1:34,5:20,8:19,9:41
Mon 19 Apr,5:25,6:48,1:33,5:20,8:20,9:43
Tue 20 Apr,5:23,6:46,1:33,5:20,8:21,9:44
Wed 21 Apr,5:21,6:45,1:33,5:21,8:22,9:45
Thu 22 Apr,5:19,6:43,1:33,5:21,8:23,9:47
Fri 23 Apr,5:18,6:42,1:33,5:21,8:24,9:48
Sat 24 Apr,5:16,6:40,1:32,5:22,8:25,9:50
Sun 25 Apr,5:14,6:39,1:32,5:22,8:26,9:51
Mon 26 Apr,5:12,6:37,1:32,5:22,8:27,9:53
Tue 27 Apr,5:11,6:36,1:32,5:23,8:28,9:54
Wed 28 Apr,5:09,6:35,1:32,5:23,8:30,9:56
Thu 29 Apr,5:07,6:33,1:32,5:23,8:31,9:57
Fri 30 Apr,5:05,6:32,1:31,5:24,8:32,9:58
